game_id,timestamp,model,actual_killer,rounds_played,correctly_identified,Openness Agent_voted_for,Conscientiousness Agent_voted_for,Extraversion Agent_voted_for,Agreeableness Agent_voted_for,Neuroticism Agent_voted_for
b5a39190-f175-46d3-8452-dfef16a95238,2025-11-19 14:44:17,gemini-2.0-flash-lite,Conscientiousness Agent,3,False,Agreeableness Agent,Agreeableness Agent,Agreeableness Agent,Extraversion Agent,Agreeableness Agent
2b8af7b7-1097-418f-9cc6-a5a46d40fddb,2025-11-19 14:44:19,gemini-2.0-flash-lite,Neuroticism Agent,3,False,Agreeableness Agent,Agreeableness Agent,Agreeableness Agent,Extraversion Agent,Agreeableness Agent
027301ff-4361-482e-95b3-3bae43979065,2025-11-19 14:44:19,gemini-2.0-flash-lite,Extraversion Agent,3,False,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Extraversion Agent
ffc09436-291a-4549-adad-8713260e95c1,2025-11-19 14:44:24,gemini-2.0-flash-lite,Extraversion Agent,3,False,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Extraversion Agent
9afd609f-a037-4633-a2a0-57fbfe9e5c36,2025-11-19 14:46:14,gemini-2.0-flash-lite,Conscientiousness Agent,3,False,Agreeableness Agent,Extraversion Agent,Agreeableness Agent,Extraversion Agent,Extraversion Agent
cfca3188-3d20-47ee-a337-6ef4eb1f6d8f,2025-11-19 14:50:06,gemini-2.0-flash-lite,Neuroticism Agent,3,False,Neuroticism Agent,Extraversion Agent,Neuroticism Agent,Extraversion Agent,Extraversion Agent
5ef60148-cfd9-4e9d-b8d6-f17a5f70e287,2025-11-19 14:50:35,gemini-2.0-flash-lite,Conscientiousness Agent,3,False,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Conscientiousness Agent
f6b0f8a6-73d2-4969-9c64-721924cc4175,2025-11-19 14:50:52,gemini-2.0-flash-lite,Neuroticism Agent,3,False,Extraversion Agent,Extraversion Agent,Agreeableness Agent,Extraversion Agent,Extraversion Agent
37095115-0569-4b19-82fb-5d2af375fa44,2025-11-19 14:51:19,gemini-2.0-flash-lite,Extraversion Agent,3,False,Neuroticism Agent,Openness Agent,Openness Agent,Openness Agent,Openness Agent
1b8b307a-721a-4630-8d30-684f8aa181b9,2025-11-19 14:51:34,gemini-2.0-flash-lite,Agreeableness Agent,3,False,Neuroticism Agent,Extraversion Agent,Neuroticism Agent,Neuroticism Agent,Openness Agent
